id,email,first_name,last_name,account_tier,account_status,company_name,company_size,industry,uses_cloud_sync,uses_team_chat,uses_data_hub,country_code,timezone,created_at,updated_at,last_login_at,trial_started_at,trial_ended_at,signup_source,utm_source,utm_medium,utm_campaign,referral_code,is_test_user,is_internal_user,email_verified,phone_verified,deleted_at
1,johnsonjoshua@example.org,Donald,Garcia,free,active,"Mcclain, Miller and Henderson",51-200,Finance,True,True,True,AT,Africa/Gaborone,2025-09-20T07:33:32,2025-09-20T07:33:32,2026-01-04T05:09:04,,,website,google,organic,campaign_8,,False,False,True,True,
2,williamjohnson@example.org,Jennifer,Miles,enterprise,inactive,Robinson-Lawrence,201-500,Education,False,True,True,AF,Asia/Gaza,2025-04-26T12:53:27,2025-04-26T12:53:27,2025-09-05T16:15:19,,,api,google,cpc,campaign_13,,False,False,True,True,
3,jpeterson@example.org,Susan,Rogers,free,churned,James LLC,1-10,Education,False,False,True,LY,America/Montevideo,2024-12-14T16:36:03,2024-12-14T16:36:03,2025-01-19T06:49:45,2024-12-14T16:36:03,2024-12-28T16:36:03,website,facebook,cpc,campaign_13,,False,False,True,False,
4,blairamanda@example.com,Christian,Carter,professional,active,"Montgomery, Hensley and Ray",500+,Manufacturing,True,True,True,MA,Africa/Porto-Novo,2023-11-22T10:59:17,2023-11-22T10:59:17,2025-01-14T19:22:20,2023-11-22T10:59:17,2023-12-06T10:59:17,referral,linkedin,cpc,campaign_8,REF6168,False,False,True,True,
5,kendragalloway@example.org,Michelle,James,professional,inactive,Reid-Diaz,201-500,Retail,False,True,False,MN,Pacific/Majuro,2025-05-31T02:00:17,2025-05-31T02:00:17,2026-01-04T02:20:05,2025-05-31T02:00:17,2025-06-14T02:00:17,mobile_app,referral,social,campaign_12,,False,False,True,False,
6,jacqueline19@example.net,George,Daniel,free,inactive,Ford LLC,11-50,Manufacturing,False,True,False,DZ,Pacific/Kosrae,2023-03-15T04:37:32,2023-03-15T04:37:32,2025-03-11T06:47:24,2023-03-15T04:37:32,2023-03-29T04:37:32,website,google,email,campaign_11,,False,False,True,True,
7,gabriellecameron@example.org,Jeremy,Johnson,starter,active,Morales-Jones,51-200,Manufacturing,True,True,False,TN,America/St_Vincent,2024-02-14T03:51:19,2024-02-14T03:51:19,2025-04-08T02:36:32,2024-02-14T03:51:19,2024-02-28T03:51:19,website,referral,email,campaign_16,,False,False,True,True,
8,dianafoster@example.net,Stephen,Baker,starter,active,Mcgee PLC,11-50,Education,True,True,False,IN,Asia/Dubai,2024-04-22T16:57:27,2024-04-22T16:57:27,2025-12-04T11:36:34,2024-04-22T16:57:27,,mobile_app,referral,organic,campaign_9,,False,False,True,True,
9,icox@example.net,Trevor,Campos,starter,suspended,Hernandez and Sons,201-500,Manufacturing,False,False,False,KZ,Europe/Oslo,2025-12-07T16:07:46,2025-12-07T16:07:46,2025-12-18T13:55:14,,,referral,referral,organic,campaign_1,,False,False,True,True,
10,djames@example.net,John,Tran,free,inactive,Frazier Inc,51-200,Manufacturing,False,True,True,KZ,Africa/Mogadishu,2024-05-28T07:16:01,2024-05-28T07:16:01,2025-08-14T20:16:54,2024-05-28T07:16:01,,mobile_app,direct,organic,campaign_4,,False,False,True,False,
